;; effweek	dow	epistleReading	epistlePericope	gospelReading	gospelPericope
23	5	I Thess_2:14-19	266	Lk_11:23-26	58
23	6	II Cor_8:1-5	185	Lk_8:16-21	36
23	0	Eph_2:4-10	220	Lk_8:26-39	38
24	1	I Thess_2:20-3:8	267	Lk_11:29-33	59
24	2	I Thess_3:9-13	268	Lk_11:34-41	60
24	3	I Thess_4:1-12	269	Lk_11:42-46	61
24	4	I Thess_5:1-8	271	Lk_11:47-12:1	62
24	5	I Thess_5:9-13, 24-28	272	Lk_12:2-12	63
24	6	II Cor_11:1-6	191	Lk_9:1-6	40
24	0	Eph_2:14-22	221	Lk_8:41-56	39
25	1	II Thess_1:1-10	274	Lk_12:13-15, 22b-31	65
25	2	II Thess_1:10b-2:2	274 (mid.)	Lk_12:42-48	68
25	3	II Thess_2:1-12	275	Lk_12:48b-59	69
25	4	II Thess_2:13-3:5	276	Lk_13:1-9	70
25	5	II Thess_3:6-18	277	Lk_13:31-35	73
25	6	Gal_1:3-10	199	Lk_9:37-43a	46
25	0	Eph_4:1-6	224	Lk_10:25-37	53
26	1	I Tim_1:1-7	278	Lk_14:12-15	75
26	2	I Tim_1:8-14	279	Lk_14:25-35	77
26	3	I Tim_1:18-20, 2:8-15	281	Lk_15:1-10	78
26	4	I Tim_3:1-13	283	Lk_16:1-9	80
26	5	I Tim_4:4-8, 16	285	Lk_16:15-18, 17:1-4	82
26	6	Gal_3:8-12	205	Lk_9:57-62	49
26	0	Eph_5:8b-19	229	Lk_12:16-21	66
27	1	I Tim_5:1-10	285 (mid. 2)	Lk_17:20-25	86
27	2	I Tim_5:11-21	286	Lk_17:26-37	87
27	3	I Tim_5:22-6:11a	287	Lk_18:15-17, 26-30	90
27	4	I Tim_6:17-21	289	Lk_18:31-34	92
27	5	II Tim_1:1-2, 8-18	290	Lk_19:12-28	95
27	6	Gal_5:22-6:2	213	Lk_10:19-21	51 (mid.)
27	0	Eph_6:10-17	233	Lk_13:10-17	71
28	1	II Tim_2:20-26	294	Lk_19:37-44	97
28	2	II Tim_3:16-4:4	297	Lk_19:45-48	98
28	3	II Tim_4:9-22	299	Lk_20:1-8	99
28	4	Tit_1:5-2:1	300 (mid.)	Lk_20:9-18	100
28	5	Tit_1:15-2:10	301	Lk_20:19-26	101
28	6	Eph_1:16-23	218	Lk_12:32-40	67
28	0	Col_1:12-18	250	Lk_14:16-24	76
29	1	Heb_3:5-11, 17-19	308	Lk_20:27-44	102
29	2	Heb_4:1-13	310	Lk_21:12-19	106
29	3	Heb_5:11-6:8	312	Lk_21:5-7, 10-11, 20-24	104
29	4	Heb_7:1-6	315	Lk_21:28-33	107
29	5	Heb_7:18-25	317	Lk_21:37-22:8	108
29	6	Eph_2:11-13	220 (mid.)	Lk_13:18-29	72
29	0	Col_3:4-11	257	Lk_17:12-19	85
30	1	Heb_8:7-13	319	Mk_8:11-21	33
30	2	Heb_9:8-10, 15-23	321	Mk_8:22-26	34
30	3	Heb_10:1-18	323	Mk_8:30-34	36
30	4	Heb_10:35-11:7	326	Mk_9:10-16	39
30	5	Heb_11:8, 11-16	327	Mk_9:33-41	41
30	6	Eph_5:1-8a	228	Lk_14:1-11	74
30	0	Col_3:12-16	258	Lk_18:18-27	91
31	1	Heb_11:17-23, 27-31	329	Mk_9:42-10:1	42
31	2	Heb_12:25-26, 13:22-25	333	Mk_10:2-12	43
31	3	Jas_1:1-18	50	Mk_10:11-16	44
31	4	Jas_1:19-27	51	Mk_10:17-27	45
31	5	Jas_2:1-13	52	Mk_10:23b-32a	46
31	6	Col_1:3-6	249 (mid.)	Lk_16:10-15	81
31	0	I Tim_1:15-17	280 (mid.)	Lk_18:35-43	93
32	1	Jas_2:14-26	53	Mk_10:46-52	48
32	2	Jas_3:1-10	54	Mk_11:11-23	50
32	3	Jas_3:11-4:6	55	Mk_11:22b-26	51
32	4	Jas_4:7-5:9	56	Mk_11:27-33	52
32	5	I Pet_1:1-2, 10-12, 2:6-10	58	Mk_12:1-12	53
32	6	I Thess_5:14-23	273	Lk_17:3-10	84
32	0	I Tim_4:9-15	285 (mid. 1)	Lk_19:1-10	94
33	1	I Pet_2:21b-3:9	59	Mk_12:13-17	54
33	2	I Pet_3:10-22	60	Mk_12:18-27	55
33	3	I Pet_4:1-11	61	Mk_12:28-37	56
33	4	I Pet_4:12-5:5	62	Mk_12:38-44	57
33	5	II Pet_1:1-10a	64	Mk_13:1-8	58
33	6	II Tim_2:11-19	293	Lk_18:2-8a	88
33	0	II Tim_3:10-15	296	Lk_18:10-14	89
34	1	II Pet_1:20-2:9	66	Mk_13:9-13	59
34	2	II Pet_2:9-22	67	Mk_13:14-23	60
34	3	II Pet_3:1-18	68	Mk_13:24-31	61
